,SHOT_DIST,SHOT_RESULT
14702,-0.3965053033302629,1
14469,0.7161646871915643,1
14832,-0.16965025671901665,0
14536,-0.09403190784860108,1
14422,0.6513489595883509,1
14967,-0.4721236522006785,1
14106,0.7485725509931707,0
14697,0.40288867044270016,1
14546,0.7269673084587663,1
14935,0.3164677003050824,1
14719,-1.293122868508046,1
14393,-0.6341629712087116,0
14272,0.7809804147947773,0
14586,0.705362065924362,0
14159,-1.3039254897752484,0
14307,0.9862302188716195,0
14317,0.40288867044270016,0
14358,-1.3579385961112593,0
15010,-0.6557682137431159,0
14685,0.5325201256491265,1
14138,0.5001122618475202,0
14938,-1.5199779151192925,0
14788,-1.7900434467993478,1
14988,0.7269673084587663,0
14305,1.0402433252076306,1
14147,1.1914800229484612,0
14489,-1.131083549500013,0
14125,0.867401384932395,0
14198,0.4460991555115092,0
14637,-1.6712146128601233,0
14424,0.5325201256491265,0
15020,0.8133882785963841,1
14185,0.12202051749544303,1
14306,0.7917830360619798,0
14244,-1.0878730644312042,1
14764,-1.7792408255321455,1
14136,0.9862302188716195,0
14308,-1.1526887920344173,1
14493,-1.552385778920899,1
14502,0.8241908998635864,0
14339,0.5217175043819245,0
14724,0.9970328401388214,0
14789,-1.5739910214553035,1
14984,-1.2715176259736418,0
14355,0.34887556410668913,0
14221,-1.4551621875160792,1
14098,0.867401384932395,1
14382,-1.7360303404633366,0
14170,0.6189410957867443,0
14408,-1.3039254897752484,1
14082,0.6837568233899577,1
14775,-0.22366336305502768,1
14968,-0.04001880151259005,0
14614,-1.2067018983704283,1
14610,-1.444359566248877,1
14309,1.169874780414057,0
14373,-1.2499123834392372,1
14103,0.6189410957867443,0
14314,0.7377699297259687,1
14187,0.7809804147947773,0
14232,-1.70362247666173,1
14446,0.759375172260373,0
14767,-0.6341629712087116,1
14805,0.8349935211307884,1
14980,0.7377699297259687,0
14550,-0.07242666531419675,1
14396,-0.9798468517591821,1
14816,0.7917830360619798,0
14157,-1.293122868508046,1
14708,-1.336333353576855,0
14878,-1.768438204264943,1
14956,0.2732572152362738,1
14269,1.169874780414057,0
14457,0.5649279894507332,0
14568,0.9538223550700128,0
14712,0.2732572152362738,1
14786,0.6837568233899577,0
14780,-1.487570051317686,1
14840,-0.08322928658139911,0
14104,0.759375172260373,1
14974,0.1976388663658584,1
14701,0.9646249763372148,0
14718,-1.6172015065241123,1
14796,1.0186380826732258,1
14399,0.759375172260373,0
14732,-1.5955962639897079,1
14095,0.7701777935275754,0
14523,0.8025856573291817,1
14765,-0.9798468517591821,1
14510,1.0834538102764393,0
14534,0.5325201256491265,1
14969,0.7701777935275754,1
14736,0.7161646871915643,1
14811,0.5325201256491265,0
14128,0.8133882785963841,0
14505,1.547966524766134,1
14648,1.1914800229484612,0
14225,0.8133882785963841,1
14063,0.6621515808555534,0
14585,0.2624545939690714,0
14741,-0.1156371503830058,1
14289,2.725452242891175,0
14800,-0.3965053033302629,0
14564,0.9538223550700128,0
14158,0.132823138762645,0
14240,0.7917830360619798,1
14250,1.3211114781548876,0
14094,0.5757306107179356,0
14220,1.0510459464748325,0
14456,0.6837568233899577,1
14897,-0.7421891838807336,1
14801,0.9754275976044171,1
14553,0.9430197338028105,0
14070,0.6189410957867443,0
14580,-1.7900434467993478,1
14573,0.8565987636651927,1
14963,-1.4011490811800682,0
14054,-1.023057336827991,0
14290,0.7701777935275754,0
14849,-0.612557728674307,0
14172,0.705362065924362,1
14995,-1.0014520942935865,1
14453,0.38128342790829584,0
14336,0.17603362383145407,0
14761,0.9322171125356085,1
14496,0.5757306107179356,0
14631,0.9214144912684061,0
14088,-1.5307805363864946,0
14670,0.9322171125356085,0
14423,-1.60639888525691,1
14940,0.8133882785963841,1
14990,0.6837568233899577,1
14760,0.7809804147947773,0
14491,0.8025856573291817,0
14822,-1.7792408255321455,1
14931,-1.6496093703257189,1
14429,1.0510459464748325,1
15021,0.8782040061995975,0
14679,1.0618485677420348,0
14177,-0.7313865626135314,1
14588,0.759375172260373,1
14139,0.867401384932395,1
14845,0.7485725509931707,0
14481,1.0618485677420348,1
14411,0.8133882785963841,1
